,Unnamed: 0,日期,历史销量,当天温度,当天油价,节假日,当时天气,item_id,,reindexed_id,节假日_embed_0,当时天气_embed_0,节假日_embed_1,当时天气_embed_1,节假日_embed_2,当时天气_embed_2,item_id_embed_0,item_id_embed_1,item_id_embed_2
2064,2064,2023/6/18,9879,0.791304348,0.814411586,周末,中雨,MD0D_300874,64,23,0.11682984,0.27830893,-0.119455874,-0.14739233,-0.08843416,-0.49761134,-0.033596277,-0.02637279,0.0765165
2017,2017,2023/4/7,9913,0.326086957,0.431966077,工作日,晴,MD0D_300874,64,23,0.34693596,0.16187012,0.09961563,0.03897214,-0.6226144,-0.612784,-0.033596277,-0.02637279,0.0765165
2054,2054,2023/5/19,9913,0.313043478,0.419222784,工作日,晴,MD0D_300874,64,23,0.34693596,0.16187012,0.09961563,0.03897214,-0.6226144,-0.612784,-0.033596277,-0.02637279,0.0765165
2053,2053,2023/5/18,9946,0.404347826,0.419222784,工作日,小雨,MD0D_300874,64,23,0.34693596,-0.45605165,0.09961563,-0.383691,-0.6226144,0.084119916,-0.033596277,-0.02637279,0.0765165
2047,2047,2023/5/9,10001,0.430434783,0.419222784,工作日,阴,MD0D_300874,64,23,0.34693596,-0.3706413,0.09961563,0.35200953,-0.6226144,-0.17355454,-0.033596277,-0.02637279,0.0765165
2060,2060,2023/5/25,10107,0.626086957,0.419222784,工作日,小雨,MD0D_300874,64,23,0.34693596,-0.45605165,0.09961563,-0.383691,-0.6226144,0.084119916,-0.033596277,-0.02637279,0.0765165
2051,2051,2023/5/13,10390,0.32173913,0.419222784,周末,晴,MD0D_300874,64,23,0.11682984,0.16187012,-0.119455874,0.03897214,-0.08843416,-0.612784,-0.033596277,-0.02637279,0.0765165
2074,2074,2023/6/28,10445,0.547826087,0.814411586,工作日,阴,MD0D_300874,64,23,0.34693596,-0.3706413,0.09961563,0.35200953,-0.6226144,-0.17355454,-0.033596277,-0.02637279,0.0765165
2055,2055,2023/5/20,10467,0.682608696,0.419222784,周末,小雨,MD0D_300874,64,23,0.11682984,-0.45605165,-0.119455874,-0.383691,-0.08843416,0.084119916,-0.033596277,-0.02637279,0.0765165
2011,2011,2023/4/1,10628,0.230434783,0.431966077,周末,晴,MD0D_300874,64,23,0.11682984,0.16187012,-0.119455874,0.03897214,-0.08843416,-0.612784,-0.033596277,-0.02637279,0.0765165
2068,2068,2023/6/22,10671,0.686956522,0.814411586,端午,中雨,MD0D_300874,64,23,0.27282408,0.27830893,0.44870573,-0.14739233,-0.10796219,-0.49761134,-0.033596277,-0.02637279,0.0765165
2037,2037,2023/4/28,10724,0.117391304,0.431966077,工作日,阴,MD0D_300874,64,23,0.34693596,-0.3706413,0.09961563,0.35200953,-0.6226144,-0.17355454,-0.033596277,-0.02637279,0.0765165
2063,2063,2023/6/17,10724,0.560869565,0.814411586,周末,中雨,MD0D_300874,64,23,0.11682984,0.27830893,-0.119455874,-0.14739233,-0.08843416,-0.49761134,-0.033596277,-0.02637279,0.0765165
2062,2062,2023/5/27,10818,0.539130435,0.419222784,周末,阴,MD0D_300874,64,23,0.11682984,-0.3706413,-0.119455874,0.35200953,-0.08843416,-0.17355454,-0.033596277,-0.02637279,0.0765165
2031,2031,2023/4/21,10820,0.252173913,0.431966077,工作日,晴,MD0D_300874,64,23,0.34693596,0.16187012,0.09961563,0.03897214,-0.6226144,-0.612784,-0.033596277,-0.02637279,0.0765165
2020,2020,2023/4/10,10846,0.395652174,0.431966077,工作日,晴,MD0D_300874,64,23,0.34693596,0.16187012,0.09961563,0.03897214,-0.6226144,-0.612784,-0.033596277,-0.02637279,0.0765165
2024,2024,2023/4/14,10966,0.408695652,0.431966077,工作日,晴,MD0D_300874,64,23,0.34693596,0.16187012,0.09961563,0.03897214,-0.6226144,-0.612784,-0.033596277,-0.02637279,0.0765165
2069,2069,2023/6/23,11109,0.865217391,0.814411586,端午,晴,MD0D_300874,64,23,0.27282408,0.16187012,0.44870573,0.03897214,-0.10796219,-0.612784,-0.033596277,-0.02637279,0.0765165
2072,2072,2023/6/26,11140,0.7,0.814411586,工作日,晴,MD0D_300874,64,23,0.34693596,0.16187012,0.09961563,0.03897214,-0.6226144,-0.612784,-0.033596277,-0.02637279,0.0765165
2019,2019,2023/4/9,11241,0.082608696,0.431966077,周末,晴,MD0D_300874,64,23,0.11682984,0.16187012,-0.119455874,0.03897214,-0.08843416,-0.612784,-0.033596277,-0.02637279,0.0765165
2075,2075,2023/6/29,11321,0.682608696,0.814411586,工作日,小雨,MD0D_300874,64,23,0.34693596,-0.45605165,0.09961563,-0.383691,-0.6226144,0.084119916,-0.033596277,-0.02637279,0.0765165
2013,2013,2023/4/3,11374,0.291304348,0.431966077,工作日,晴,MD0D_300874,64,23,0.34693596,0.16187012,0.09961563,0.03897214,-0.6226144,-0.612784,-0.033596277,-0.02637279,0.0765165
2043,2043,2023/5/4,11573,0.643478261,0.419222784,工作日,阴,MD0D_300874,64,23,0.34693596,-0.3706413,0.09961563,0.35200953,-0.6226144,-0.17355454,-0.033596277,-0.02637279,0.0765165
2071,2071,2023/6/25,11598,0.543478261,0.814411586,工作日,小雨,MD0D_300874,64,23,0.34693596,-0.45605165,0.09961563,-0.383691,-0.6226144,0.084119916,-0.033596277,-0.02637279,0.0765165
2012,2012,2023/4/2,12191,0.2,0.431966077,周末,晴,MD0D_300874,64,23,0.11682984,0.16187012,-0.119455874,0.03897214,-0.08843416,-0.612784,-0.033596277,-0.02637279,0.0765165
2042,2042,2023/5/3,12398,0.17826087,0.419222784,劳动节,小雨,MD0D_300874,64,23,-0.3833651,-0.45605165,-0.057714194,-0.383691,-0.18704179,0.084119916,-0.033596277,-0.02637279,0.0765165
2025,2025,2023/4/15,12894,0.330434783,0.431966077,周末,晴,MD0D_300874,64,23,0.11682984,0.16187012,-0.119455874,0.03897214,-0.08843416,-0.612784,-0.033596277,-0.02637279,0.0765165
2041,2041,2023/5/2,12906,0.504347826,0.419222784,劳动节,晴,MD0D_300874,64,23,-0.3833651,0.16187012,-0.057714194,0.03897214,-0.18704179,-0.612784,-0.033596277,-0.02637279,0.0765165
2026,2026,2023/4/16,13205,0,0.431966077,周末,晴,MD0D_300874,64,23,0.11682984,0.16187012,-0.119455874,0.03897214,-0.08843416,-0.612784,-0.033596277,-0.02637279,0.0765165
2038,2038,2023/4/29,13225,0.373913043,0.431966077,劳动节,晴,MD0D_300874,64,23,-0.3833651,0.16187012,-0.057714194,0.03897214,-0.18704179,-0.612784,-0.033596277,-0.02637279,0.0765165
2067,2067,2023/6/21,13542,0.97826087,0.814411586,工作日,阴,MD0D_300874,64,23,0.34693596,-0.3706413,0.09961563,0.35200953,-0.6226144,-0.17355454,-0.033596277,-0.02637279,0.0765165
2049,2049,2023/5/11,14229,0.291304348,0.419222784,工作日,晴,MD0D_300874,64,23,0.34693596,0.16187012,0.09961563,0.03897214,-0.6226144,-0.612784,-0.033596277,-0.02637279,0.0765165
2056,2056,2023/5/21,14897,0.17826087,0.419222784,周末,阴,MD0D_300874,64,23,0.11682984,-0.3706413,-0.119455874,0.35200953,-0.08843416,-0.17355454,-0.033596277,-0.02637279,0.0765165
2027,2027,2023/4/17,16065,0.043478261,0.431966077,工作日,晴,MD0D_300874,64,23,0.34693596,0.16187012,0.09961563,0.03897214,-0.6226144,-0.612784,-0.033596277,-0.02637279,0.0765165
2021,2021,2023/4/11,16373,0.043478261,0.431966077,工作日,晴,MD0D_300874,64,23,0.34693596,0.16187012,0.09961563,0.03897214,-0.6226144,-0.612784,-0.033596277,-0.02637279,0.0765165
2040,2040,2023/5/1,17759,0.37826087,0.419222784,劳动节,小雨,MD0D_300874,64,23,-0.3833651,-0.45605165,-0.057714194,-0.383691,-0.18704179,0.084119916,-0.033596277,-0.02637279,0.0765165
6390,6390,2023/5/27,633,0.204347826,0.61297659,周末,阴,MD29_300873,65,73,0.11682984,-0.3706413,-0.119455874,0.35200953,-0.08843416,-0.17355454,0.043890595,-0.058794618,0.021286357
6381,6381,2023/5/18,645,0.695652174,0.61297659,工作日,阴,MD29_300873,65,73,0.34693596,-0.3706413,0.09961563,0.35200953,-0.6226144,-0.17355454,0.043890595,-0.058794618,0.021286357
